times_in,times_out
319,15
613,9
454,135
256,0
438,40
285,109
593,32
398,26
259,129
480,33
452,41
230,1
500,8
567,4
644,4
213,5
403,5
431,25
490,19
276,97
245,91
388,124
355,35
77,16
324,6
421,14
401,74
40,1
553,38
280,44
271,54
490,103
101,42
476,119
286,109
338,6
580,109
31,1
210,13
288,10
388,70
92,1
352,55
374,163
446,111
258,30
476,57
400,111
93,3
297,138
97,1
480,136
90,0
397,11
57,163
424,119
90,3
79,4
86,0
333,106
290,47
310,81
223,65
557,67
245,35
174,2
354,29
132,9
179,7
5,1
91,1
275,6
263,67
388,79
159,48
94,1
89,0
387,144
96,1
373,125
434,141
130,36
203,37
228,32
187,24
191,70
275,24
480,155
155,132
249,37
167,4
3,2
134,51
262,17
179,4
181,13
126,70
177,15
86,2
129,44
53,12
247,72
281,154
18,2
55,35
64,30
5,1
262,49
160,35
323,120
138,61
126,38
109,58
78,17
35,34
432,108
65,34
173,107
343,174
272,204
86,39
27,39
137,174
96,34
209,97
157,166
202,151
97,31
94,116
143,180
182,154
112,83
11,7
15,10
220,172
171,101
102,81
87,63
225,191
53,39
8,9
225,71
91,63
151,83
143,71
65,53
74,17
131,71
120,31
2,0
85,27
1,2
203,74
140,36
96,31
139,71
215,114
328,167
1,6
133,72
90,8
67,59
89,8
124,85
226,137
226,162
70,15
56,66
71,21
106,97
106,101
117,324
83,189
84,195
18,200
94,66
94,203
88,125
130,227
88,37
186,142
59,23
42,188
167,36
182,113
73,9
2,8
139,67
25,16
88,14
6,0
70,21
17,3
96,94
113,96
196,184
186,61
89,31
86,41
203,93
73,44
57,33
72,20
12,19
25,13
176,118
69,59
28,7
0,0
4,0
63,52
166,32
67,77
85,44
20,14
84,26
185,165
74,158
2,1
25,9
3,1
68,86
74,35
0,0
23,21
14,28
3,0
26,49
30,135
75,45
16,36
86,178
44,97
37,37
4,0
55,122
11,23
13,110
13,21
28,30
49,31
18,15
10,2
2,2
15,20
21,19
91,109
17,18
4,2
19,23
11,24
80,92
4,3
3,3
10,17
39,57
1,3
1,4
18,17
24,18
26,6
48,31
20,9
30,8
71,17
25,10
88,127
16,20
92,24
28,39
14,24
4,2
3,43
2,3
1,2
3,5
0,0
9,26
7,28
8,28
12,29
3,6
0,34
4,6
3,37
43,174
42,109
13,8
3,38
1,30
2,1
1,34
12,28
11,30
9,31
17,55
1,9
78,83
6,31
2,32
0,35
5,31
0,4
3,37
10,66
150,230
286,217
70,313
183,254
69,15
42,10
187,109
163,76
170,138
122,221
83,111
142,64
157,279
75,142
55,72
27,25
58,30
138,275
72,12
115,121
89,165
60,80
49,34
57,55
60,61
42,143
62,79
118,262
32,53
64,171
65,169
65,148
49,35
50,37
58,147
49,39
81,166
54,180
46,39
119,297
84,227
77,51
68,62
57,179
30,62
54,318
14,70
23,69
23,258
55,257
11,204
42,240
23,321
1,188
3,155
2,86
19,65
94,37
5,277
19,247
49,40
2,3
29,9
7,108
22,229
73,244
0,23
33,31
32,55
32,140
0,131
12,26
4,34
0,172
0,1
0,3
0,130
0,167
1,169
7,49
124,131
36,132
