[328.495941, 66.022141;
189.364456, 53.374908;
189.597229, 53.490189;
211.295837, 72.715279;
211.322891, 73.371353;
212.289230, 36.359509;
290.198853, 73.776733;
289.652466, 66.632980;
320.257812, 87.381882;
297.412537, 87.326630;
212.391693, 36.015133;
328.411072, 51.850185;
337.863770, 65.856720;
308.940887, 93.104233;
290.472961, 52.834969;
280.224121, 66.497498;
226.442108, 66.445114;
308.959259, 96.503723;
324.142517, 50.548435;
227.013474, 41.239056;
321.473236, 59.133976;
225.671906, 65.701851;
317.377716, 35.620369;
294.796692, 51.212208;
197.680084, 40.355762;
197.685654, 66.337784;
197.535141, 39.681767;
196.146667, 67.828362;
301.967285, 35.987610;
296.822876, 59.828003;
316.636261, 35.870300;
309.106171, 59.391567;
78.781563, 94.051582;
80.858353, 90.087486;
324.900787, 80.914848;
302.859497, 35.958439;
140.545105, 62.176514;
323.992493, 50.275738;
141.557526, 65.604919;
87.119423, 52.703014;
78.503075, 79.444664;
87.647072, 58.361046;
295.135284, 50.821468;
309.078735, 63.583473;
108.955620, 79.380249]
